,event,age,height,weight,VR_exp,sport_fre,personality,familiarity,cut_mean,speed_mean,space_max,space_mean,cut_mean_reverse,speed_mean_reverse,space_max_reverse,space_mean_reverse
0,1,0,2,1,0,1,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
1,2,0,2,1,0,1,0,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
2,3,0,2,1,0,1,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
3,4,0,2,1,0,1,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
4,1,0,2,0,0,0,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
5,2,0,2,0,0,0,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
6,3,0,2,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
7,4,0,2,0,0,0,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
8,1,1,1,0,1,0,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
9,2,1,1,0,1,0,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
10,3,1,1,0,1,0,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
11,4,1,1,0,1,0,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
12,1,1,1,0,1,1,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
13,2,1,1,0,1,1,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
14,3,1,1,0,1,1,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
15,4,1,1,0,1,1,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
16,1,1,2,1,0,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
17,2,1,2,1,0,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
18,3,1,2,1,0,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
19,4,1,2,1,0,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
20,1,1,0,1,0,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
21,2,1,0,1,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
22,3,1,0,1,0,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
23,4,1,0,1,0,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
24,1,1,2,1,0,0,1,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
25,2,1,2,1,0,0,1,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
26,3,1,2,1,0,0,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
27,4,1,2,1,0,0,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
28,1,1,2,3,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
29,2,1,2,3,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
30,3,1,2,3,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
31,4,1,2,3,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
32,1,1,3,2,1,1,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
33,2,1,3,2,1,1,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
34,3,1,3,2,1,1,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
35,4,1,3,2,1,1,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
36,1,1,2,2,0,1,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
37,2,1,2,2,0,1,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
38,3,1,2,2,0,1,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
39,4,1,2,2,0,1,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
40,1,1,3,3,0,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
41,2,1,3,3,0,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
42,3,1,3,3,0,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
43,4,1,3,3,0,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
44,1,0,0,0,1,1,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
45,2,0,0,0,1,1,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
46,3,0,0,0,1,1,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
47,4,0,0,0,1,1,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
48,1,0,1,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
49,2,0,1,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
50,3,0,1,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
51,4,0,1,0,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
52,1,0,1,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
53,2,0,1,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
