cut_matching_cat,cut_matching_val,cut_proto_cat,cut_proto_val,cut_maml_cat,cut_maml_val,space_matching_cat,space_matching_val,space_proto_cat,space_proto_val,space_maml_cat,space_maml_val,speed_matching_cat,speed_matching_val,speed_proto_cat,speed_proto_val,speed_maml_cat,speed_maml_val
0.2625,0.275,0.27625,0.3375,0.2546875,0.2828125,0.2875,0.325,0.2425,0.2625,0.253125,0.28515625,0.2875,0.3375,0.28625,0.3075,0.24375,0.275
0.26875,0.275,0.29875,0.3475,0.271875,0.29453125,0.275,0.3,0.24375,0.35,0.244921875,0.275,0.26875,0.2375,0.24125,0.2925,0.267578125,0.29453125
0.3,0.375,0.35,0.3775,0.285546875,0.31328125,0.28125,0.325,0.285,0.315,0.261328125,0.28984375,0.31875,0.3125,0.2925,0.305,0.296875,0.31484375
0.35,0.275,0.395,0.4825,0.340234375,0.309375,0.25625,0.2875,0.28125,0.315,0.252734375,0.2828125,0.33125,0.3375,0.32625,0.3575,0.321484375,0.3296875
0.39375,0.425,0.45625,0.5525,0.366015625,0.3484375,0.2875,0.2875,0.31125,0.3175,0.26484375,0.296875,0.3375,0.3,0.35625,0.3125,0.404296875,0.32578125
0.3125,0.425,0.56125,0.5725,0.433984375,0.365625,0.28125,0.25,0.31,0.3575,0.273046875,0.26484375,0.43125,0.35,0.39,0.395,0.458984375,0.32265625
0.41875,0.525,0.605,0.6225,0.501953125,0.42265625,0.275,0.3125,0.3,0.3675,0.280859375,0.2640625,0.3875,0.3125,0.4125,0.3775,0.523046875,0.33125
0.53125,0.5,0.66875,0.655,0.546875,0.43046875,0.275,0.3,0.3525,0.4075,0.30234375,0.2734375,0.56875,0.35,0.4825,0.4075,0.565234375,0.36484375
0.4625,0.4125,0.6775,0.7025,0.619921875,0.46328125,0.21875,0.3875,0.38625,0.38,0.32890625,0.3,0.61875,0.425,0.55625,0.4975,0.61796875,0.39921875
0.50625,0.4125,0.76,0.71,0.64609375,0.50625,0.31875,0.375,0.3875,0.4275,0.354296875,0.30703125,0.5,0.5125,0.6275,0.5475,0.6796875,0.38359375
0.44375,0.45,0.7675,0.7675,0.68515625,0.51328125,0.34375,0.3125,0.41,0.4675,0.41015625,0.33515625,0.675,0.4875,0.7175,0.5725,0.68984375,0.42109375
0.5,0.5625,0.77125,0.7225,0.709765625,0.55,0.2875,0.525,0.4675,0.5475,0.458203125,0.340625,0.6375,0.5625,0.7675,0.6325,0.72265625,0.42265625
0.54375,0.525,0.85,0.8075,0.72265625,0.57890625,0.33125,0.5125,0.4725,0.395,0.50703125,0.359375,0.69375,0.525,0.7575,0.5425,0.76796875,0.44140625
0.58125,0.5,0.855,0.7425,0.73359375,0.55546875,0.34375,0.3625,0.4725,0.4775,0.548046875,0.3453125,0.7625,0.5375,0.8025,0.605,0.798046875,0.44375
0.55,0.4,0.8275,0.755,0.735546875,0.60078125,0.26875,0.425,0.505,0.5175,0.560546875,0.421875,0.7875,0.5,0.82125,0.68,0.808203125,0.409375
0.675,0.5875,0.8575,0.77,0.77109375,0.578125,0.34375,0.45,0.58125,0.5925,0.622265625,0.4125,0.8125,0.45,0.8475,0.5925,0.81484375,0.43125
0.7125,0.5625,0.87875,0.7575,0.779296875,0.615625,0.35625,0.35,0.6025,0.545,0.665625,0.46640625,0.85625,0.625,0.86625,0.585,0.819140625,0.44140625
0.64375,0.6125,0.8825,0.685,0.80625,0.5984375,0.44375,0.4375,0.63375,0.53,0.698046875,0.4859375,0.90625,0.5625,0.9,0.5975,0.855859375,0.43359375
0.7125,0.6,0.87875,0.7125,0.8265625,0.5953125,0.35625,0.5,0.62875,0.64,0.72890625,0.4734375,0.84375,0.6625,0.875,0.5775,0.8625,0.41796875
0.675,0.725,0.92875,0.7175,0.840234375,0.6421875,0.4,0.4125,0.72625,0.675,0.730859375,0.5046875,0.9,0.725,0.945,0.59,0.88671875,0.4359375
0.69375,0.575,0.94875,0.73,0.8390625,0.60625,0.4,0.325,0.78,0.665,0.76796875,0.5078125,0.85,0.6,0.96125,0.5975,0.8765625,0.42890625
0.73125,0.6875,0.95125,0.7725,0.8515625,0.6046875,0.4625,0.475,0.77375,0.6325,0.773828125,0.54921875,0.8875,0.5375,0.95625,0.5725,0.901953125,0.403125
0.725,0.6625,0.94875,0.705,0.85234375,0.590625,0.45,0.4375,0.78625,0.67,0.759375,0.54609375,0.86875,0.6625,0.95625,0.6075,0.9,0.44296875
0.75625,0.7125,0.9775,0.7225,0.879296875,0.6328125,0.53125,0.4875,0.8475,0.615,0.787109375,0.55703125,0.775,0.65,0.95625,0.5675,0.9125,0.453125
0.74375,0.75,0.95875,0.74,0.875390625,0.6515625,0.58125,0.525,0.83,0.6275,0.7875,0.5265625,0.875,0.6125,0.965,0.6375,0.918359375,0.41640625
0.775,0.675,0.9625,0.745,0.875390625,0.5890625,0.55,0.5375,0.81625,0.6375,0.78984375,0.60234375,0.90625,0.6125,0.97375,0.6075,0.912890625,0.4421875
0.70625,0.7625,0.96375,0.655,0.894140625,0.665625,0.49375,0.5625,0.84375,0.6525,0.807421875,0.60703125,0.84375,0.625,0.97875,0.5975,0.916015625,0.44375
0.8125,0.825,0.96,0.7225,0.904296875,0.65078125,0.63125,0.5,0.89,0.7175,0.806640625,0.61171875,0.88125,0.6,0.96,0.565,0.9140625,0.46640625
0.7875,0.7875,0.965,0.75,0.90859375,0.59609375,0.6,0.5625,0.86875,0.685,0.81875,0.61953125,0.94375,0.5875,0.96375,0.6,0.92265625,0.44453125
0.78125,0.7,0.97125,0.73,0.896875,0.6171875,0.6,0.575,0.915,0.68,0.845703125,0.6484375,0.825,0.55,0.96375,0.57,0.916015625,0.45234375
0.84375,0.7125,0.97125,0.7475,0.898046875,0.63125,0.5625,0.55,0.90125,0.66,0.862890625,0.64140625,0.85,0.5375,0.95125,0.605,0.938671875,0.4375
0.83125,0.7,0.97,0.7225,0.913671875,0.646875,0.6125,0.525,0.9075,0.6825,0.86484375,0.6453125,0.9,0.6375,0.9775,0.585,0.929296875,0.453125
0.88125,0.75,0.955,0.73,0.904296875,0.64296875,0.64375,0.575,0.92125,0.6075,0.869921875,0.6375,0.8,0.5875,0.9725,0.5625,0.9234375,0.4625
0.8875,0.8,0.96375,0.755,0.91171875,0.61328125,0.7125,0.4125,0.9,0.6825,0.865625,0.6671875,0.8625,0.6,0.965,0.64,0.930859375,0.44921875
0.86875,0.8625,0.97625,0.7275,0.925390625,0.6015625,0.675,0.525,0.9275,0.6275,0.897265625,0.65859375,0.85625,0.6125,0.96875,0.605,0.931640625,0.43359375
0.85625,0.775,0.97875,0.6675,0.9203125,0.63828125,0.73125,0.5625,0.93625,0.6625,0.88359375,0.63828125,0.875,0.6,0.955,0.5575,0.94609375,0.44140625
0.8375,0.7125,0.97125,0.6775,0.919140625,0.671875,0.70625,0.575,0.9375,0.66,0.895703125,0.67265625,0.875,0.5125,0.99125,0.59,0.934765625,0.43125
0.86875,0.7625,0.9425,0.6625,0.93125,0.64375,0.7625,0.6375,0.9425,0.675,0.88828125,0.64375,0.8125,0.5625,0.975,0.5675,0.92890625,0.40859375
0.84375,0.7625,0.9575,0.72,0.928125,0.62734375,0.7125,0.7375,0.96,0.6275,0.88515625,0.6734375,0.875,0.5125,0.96375,0.6125,0.933984375,0.434375
0.8625,0.8,0.99125,0.7275,0.9203125,0.61640625,0.73125,0.6125,0.9575,0.6475,0.911328125,0.67890625,0.9,0.65,0.98375,0.6025,0.9375,0.44609375
0.86875,0.775,0.995,0.7175,0.934765625,0.64140625,0.69375,0.6625,0.9925,0.65,0.909765625,0.66171875,0.89375,0.525,0.99125,0.6375,0.941015625,0.459375
0.9375,0.6625,0.98375,0.75,0.934375,0.65703125,0.7875,0.7375,0.9725,0.6575,0.91640625,0.659375,0.90625,0.5875,0.9875,0.62,0.937109375,0.44453125
0.85625,0.8,0.99,0.715,0.936328125,0.665625,0.81875,0.725,0.98375,0.68,0.909765625,0.665625,0.925,0.5875,0.9875,0.5825,0.941796875,0.415625
0.88125,0.775,0.99125,0.685,0.938671875,0.634375,0.75,0.6625,0.98375,0.655,0.91953125,0.678125,0.89375,0.5625,0.99625,0.615,0.94609375,0.434375
0.86875,0.85,0.99,0.695,0.950390625,0.63203125,0.76875,0.6375,0.9875,0.695,0.923828125,0.66171875,0.925,0.5875,0.99,0.645,0.937109375,0.44296875
0.88125,0.7625,0.9975,0.705,0.932421875,0.61875,0.80625,0.7125,0.9775,0.6525,0.93359375,0.67578125,0.925,0.625,0.99125,0.5975,0.92265625,0.4578125
0.9,0.725,1,0.6475,0.949609375,0.6328125,0.78125,0.6625,0.9825,0.66,0.930078125,0.65546875,0.89375,0.6125,0.98875,0.5875,0.939453125,0.45546875
0.8875,0.675,0.995,0.685,0.93984375,0.63671875,0.76875,0.6375,0.97125,0.6475,0.93359375,0.66484375,0.95,0.575,0.99,0.5925,0.943359375,0.44140625
0.86875,0.8,0.98875,0.705,0.944921875,0.64140625,0.86875,0.6875,0.97625,0.6225,0.926953125,0.66484375,0.90625,0.6375,0.98375,0.55,0.94453125,0.4515625
0.9,0.775,0.99375,0.6425,0.93828125,0.6484375,0.7375,0.6875,0.98625,0.66,0.928125,0.6796875,0.93125,0.6375,0.995,0.6025,0.953125,0.46171875
0.9125,0.575,0.9825,0.6525,0.940234375,0.6171875,0.83125,0.625,0.97375,0.6825,0.934765625,0.6734375,0.88125,0.625,0.99375,0.5525,0.939453125,0.4296875
0.9,0.7375,0.995,0.6825,0.93359375,0.64609375,0.6875,0.5625,0.96375,0.655,0.944921875,0.68828125,0.9,0.5625,0.9925,0.585,0.93828125,0.45703125
0.9125,0.7625,0.99625,0.6825,0.937109375,0.63203125,0.775,0.55,0.97625,0.6625,0.93515625,0.665625,0.95,0.6625,0.99625,0.595,0.94296875,0.4765625
0.88125,0.625,0.99625,0.6575,0.940625,0.640625,0.825,0.575,0.9925,0.615,0.9375,0.6984375,0.91875,0.6,0.99375,0.5825,0.946875,0.44375
0.8875,0.75,0.98875,0.6825,0.94296875,0.65234375,0.86875,0.625,0.9925,0.6325,0.936328125,0.6453125,0.9625,0.5875,0.99875,0.5875,0.93671875,0.440625
0.88125,0.775,0.9875,0.72,0.949609375,0.6234375,0.85,0.7,0.98625,0.645,0.946484375,0.66328125,0.925,0.6375,0.99,0.6225,0.942578125,0.45625
0.94375,0.7375,0.995,0.7,0.9390625,0.6421875,0.78125,0.6125,0.9775,0.63,0.941015625,0.66171875,0.94375,0.5625,1,0.585,0.9515625,0.46484375
0.9125,0.8,0.9975,0.74,0.94140625,0.64375,0.7875,0.6,0.98875,0.6525,0.948828125,0.6671875,0.96875,0.6375,0.99875,0.565,0.93828125,0.41484375
0.9,0.7875,1,0.675,0.953515625,0.63359375,0.85,0.65,0.98,0.6,0.952734375,0.6484375,0.9625,0.5875,1,0.5625,0.929296875,0.44296875
0.925,0.7625,0.99875,0.6825,0.948828125,0.62734375,0.83125,0.725,0.99375,0.6475,0.950390625,0.6640625,0.98125,0.6,1,0.575,0.945703125,0.44765625
0.95,0.7,1,0.67,0.940625,0.67109375,0.89375,0.7,0.995,0.65,0.948046875,0.67109375,0.98125,0.6375,1,0.595,0.94140625,0.4421875
0.95,0.6875,1,0.685,0.937890625,0.6546875,0.9,0.7375,0.99625,0.6775,0.951953125,0.67109375,0.975,0.5625,1,0.5825,0.952734375,0.45390625
0.94375,0.7875,0.9975,0.615,0.944921875,0.65625,0.88125,0.675,0.9925,0.625,0.94453125,0.6578125,0.95625,0.5125,1,0.63,0.95,0.45390625
0.95,0.7625,1,0.6575,0.938671875,0.63984375,0.85625,0.7125,0.99875,0.65,0.948828125,0.66015625,0.95,0.65,0.99875,0.565,0.941015625,0.46953125
0.9,0.7,1,0.6775,0.9453125,0.65859375,0.9125,0.6625,0.99625,0.675,0.947265625,0.6671875,0.975,0.7,1,0.58,0.945703125,0.4484375
0.95,0.6875,1,0.705,0.949609375,0.65703125,0.9125,0.675,1,0.6525,0.95859375,0.67421875,0.95625,0.6625,1,0.605,0.9640625,0.46484375
0.94375,0.75,0.99875,0.675,0.941015625,0.66875,0.85625,0.6,0.99875,0.6175,0.95078125,0.690625,0.96875,0.6375,1,0.5425,0.952734375,0.4046875
0.95625,0.7875,1,0.6825,0.94453125,0.65859375,0.9125,0.6125,0.99625,0.6575,0.95625,0.6703125,0.9375,0.6625,1,0.575,0.95546875,0.459375
0.9625,0.5625,0.9925,0.6725,0.95390625,0.64140625,0.95,0.65,0.995,0.6325,0.955078125,0.65625,0.99375,0.6375,1,0.6275,0.956640625,0.46171875
0.975,0.725,1,0.65,0.956640625,0.63125,0.86875,0.725,0.99625,0.6075,0.95625,0.68828125,0.95,0.6125,0.99625,0.5875,0.952734375,0.41875
0.9625,0.75,1,0.7075,0.94765625,0.6375,0.9125,0.6375,0.99625,0.64,0.960546875,0.65234375,0.9875,0.55,1,0.5875,0.94921875,0.4609375
0.9625,0.775,0.99875,0.6775,0.948828125,0.6171875,0.8875,0.625,1,0.5975,0.959375,0.66015625,0.98125,0.625,0.99375,0.6425,0.958984375,0.45625
0.9625,0.675,1,0.695,0.950390625,0.6453125,0.91875,0.625,0.995,0.6525,0.96171875,0.68046875,0.95,0.6625,0.9975,0.5775,0.9484375,0.4703125
0.98125,0.775,0.99875,0.675,0.954296875,0.65625,0.875,0.675,0.9975,0.62,0.964453125,0.64375,0.95625,0.5125,1,0.605,0.946875,0.44375
0.98125,0.75,1,0.6825,0.953515625,0.6390625,0.93125,0.6875,0.99875,0.63,0.965234375,0.65703125,0.975,0.6375,0.9975,0.545,0.951171875,0.43203125
0.9625,0.7375,0.9975,0.7675,0.946484375,0.6640625,0.9375,0.6875,1,0.625,0.96328125,0.665625,0.9875,0.575,1,0.6325,0.949609375,0.471875
0.975,0.75,0.9975,0.6225,0.953515625,0.64609375,0.85625,0.6125,0.985,0.6625,0.953515625,0.665625,0.975,0.575,1,0.6425,0.949609375,0.45703125
