,Unnamed: 0,event,gender,age,height,weight,fre_side,VR_exp,game_fre,sport_fre,difficulty,enjoyment,fatigue,personality,familiarity,cut_mean,speed_mean,space_max,space_mean
0,0,1,0,0,2,1,1,0,0,1,0,1,0,0,0,0.0,3.0,2.0,2.0
1,1,2,0,0,2,1,1,0,0,1,0,1,0,0,0,0.0,3.0,2.0,1.0
2,2,3,0,0,2,1,1,0,0,1,0,1,0,0,0,0.0,3.0,3.0,2.0
3,3,4,0,0,2,1,1,0,0,1,0,1,0,0,0,0.0,3.0,2.0,3.0
4,4,1,0,0,2,0,1,0,0,0,1,1,1,1,0,1.0,1.0,2.0,2.0
5,5,2,0,0,2,0,1,0,0,0,1,1,1,1,0,1.0,1.0,2.0,1.0
6,6,3,0,0,2,0,1,0,0,0,1,1,1,1,0,1.0,1.0,0.0,2.0
7,7,4,0,0,2,0,1,0,0,0,1,1,1,1,0,1.0,1.0,2.0,2.0
8,8,1,1,1,1,0,1,1,0,0,0,1,0,1,1,3.0,3.0,3.0,3.0
9,9,2,1,1,1,0,1,1,0,0,0,1,0,1,1,3.0,3.0,3.0,2.0
10,10,3,1,1,1,0,1,1,0,0,0,1,0,1,1,3.0,3.0,2.0,3.0
11,11,4,1,1,1,0,1,1,0,0,0,1,0,1,1,3.0,3.0,3.0,3.0
12,12,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1.0,1.0,2.0,2.0
13,13,2,1,1,1,0,1,1,0,1,1,0,1,0,0,1.0,1.0,2.0,2.0
14,14,3,1,1,1,0,1,1,0,1,1,0,1,0,0,1.0,0.0,1.0,2.0
15,15,4,1,1,1,0,1,1,0,1,1,0,1,0,0,1.0,1.0,2.0,2.0
16,16,1,1,1,2,1,1,0,0,1,1,1,1,0,0,0.0,0.0,0.0,0.0
17,17,2,1,1,2,1,1,0,0,1,1,1,1,0,0,1.0,0.0,0.0,0.0
18,18,3,1,1,2,1,1,0,0,1,1,1,1,0,0,0.0,0.0,0.0,0.0
19,19,4,1,1,2,1,1,0,0,1,1,1,1,0,0,1.0,0.0,0.0,0.0
20,20,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0.0,0.0,0.0,2.0
21,21,2,1,1,0,1,1,0,1,0,0,1,0,0,0,1.0,0.0,0.0,1.0
22,22,3,1,1,0,1,1,0,1,0,0,1,0,0,0,0.0,0.0,0.0,2.0
23,23,4,1,1,0,1,1,0,1,0,0,1,0,0,0,0.0,0.0,0.0,2.0
24,24,1,0,1,2,1,1,0,1,0,0,0,0,1,0,2.0,1.0,2.0,1.0
25,25,2,0,1,2,1,1,0,1,0,0,0,0,1,0,2.0,1.0,2.0,1.0
26,26,3,0,1,2,1,1,0,1,0,0,0,0,1,0,2.0,1.0,1.0,1.0
27,27,4,0,1,2,1,1,0,1,0,0,0,0,1,0,3.0,2.0,2.0,2.0
28,28,1,0,1,2,3,1,0,0,0,0,1,0,0,0,1.0,0.0,0.0,1.0
29,29,2,0,1,2,3,1,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
30,30,3,0,1,2,3,1,0,0,0,0,1,0,0,0,1.0,0.0,0.0,1.0
31,31,4,0,1,2,3,1,0,0,0,0,1,0,0,0,1.0,0.0,0.0,1.0
32,32,1,0,1,3,2,1,1,0,1,1,1,0,1,0,2.0,0.0,3.0,3.0
33,33,2,0,1,3,2,1,1,0,1,1,1,0,1,0,2.0,0.0,3.0,3.0
34,34,3,0,1,3,2,1,1,0,1,1,1,0,1,0,2.0,1.0,3.0,3.0
35,35,4,0,1,3,2,1,1,0,1,1,1,0,1,0,1.0,0.0,3.0,3.0
36,36,1,0,1,2,2,1,0,1,1,1,1,0,0,0,0.0,0.0,2.0,3.0
37,37,2,0,1,2,2,1,0,1,1,1,1,0,0,0,0.0,0.0,1.0,3.0
38,38,3,0,1,2,2,1,0,1,1,1,1,0,0,0,0.0,0.0,0.0,3.0
39,39,4,0,1,2,2,1,0,1,1,1,1,0,0,0,0.0,0.0,2.0,3.0
40,40,1,0,1,3,3,1,0,1,1,0,0,0,1,0,0.0,0.0,0.0,0.0
41,41,2,0,1,3,3,1,0,1,1,0,0,0,1,0,0.0,0.0,0.0,0.0
42,42,3,0,1,3,3,1,0,1,1,0,0,0,1,0,0.0,0.0,0.0,1.0
43,43,4,0,1,3,3,1,0,1,1,0,0,0,1,0,0.0,0.0,0.0,1.0
44,44,1,1,0,0,0,1,1,0,1,1,1,0,1,0,2.0,0.0,1.0,2.0
45,45,2,1,0,0,0,1,1,0,1,1,1,0,1,0,1.0,0.0,2.0,1.0
46,46,3,1,0,0,0,1,1,0,1,1,1,0,1,0,1.0,0.0,2.0,2.0
47,47,4,1,0,0,0,1,1,0,1,1,1,0,1,0,2.0,0.0,1.0,2.0
48,48,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1.0,0.0,0.0,2.0
49,49,2,1,0,1,0,1,0,0,0,1,1,0,1,0,1.0,0.0,1.0,2.0
50,50,3,1,0,1,0,1,0,0,0,1,1,0,1,0,0.0,0.0,0.0,2.0
51,51,4,1,0,1,0,1,0,0,0,1,1,0,1,0,2.0,0.0,1.0,2.0
56,56,1,0,1,2,2,1,1,1,0,1,0,0,1,0,0.0,1.0,2.0,2.0
57,57,2,0,1,2,2,1,1,1,0,1,0,0,1,0,1.0,1.0,1.0,2.0
58,58,3,0,1,2,2,1,1,1,0,1,0,0,1,0,0.0,1.0,1.0,2.0
59,59,4,0,1,2,2,1,1,1,0,1,0,0,1,0,0.0,1.0,1.0,2.0
60,60,1,0,1,2,1,1,0,0,1,0,0,1,1,0,1.0,0.0,1.0,0.0
61,61,2,0,1,2,1,1,0,0,1,0,0,1,1,0,2.0,0.0,2.0,0.0
62,62,3,0,1,2,1,1,0,0,1,0,0,1,1,0,1.0,0.0,0.0,0.0
63,63,4,0,1,2,1,1,0,0,1,0,0,1,1,0,2.0,1.0,1.0,0.0
