,VR Task,Gender,Age,Height,Weight,Dominant Hand,VR Experiene,Game Frequency,Sport Frequency,Difficulty,Enjoyment,Fatigue,Personality,Game Familiarity,Slashing Amplitude,Slashing Speed,Slashing Space
0,1,0,0,2,1,1,0,0,1,0,1,0,0,0,0,3,2
1,2,0,0,2,1,1,0,0,1,0,1,0,0,0,0,3,2
2,3,0,0,2,1,1,0,0,1,0,1,0,0,0,0,3,3
3,4,0,0,2,1,1,0,0,1,0,1,0,0,0,0,3,2
4,1,0,0,2,0,1,0,0,0,1,1,1,1,0,1,1,2
5,2,0,0,2,0,1,0,0,0,1,1,1,1,0,1,1,2
6,3,0,0,2,0,1,0,0,0,1,1,1,1,0,1,1,0
7,4,0,0,2,0,1,0,0,0,1,1,1,1,0,1,1,2
8,1,1,1,1,0,1,1,0,0,0,1,0,1,1,3,3,3
9,2,1,1,1,0,1,1,0,0,0,1,0,1,1,3,3,3
10,3,1,1,1,0,1,1,0,0,0,1,0,1,1,3,3,2
11,4,1,1,1,0,1,1,0,0,0,1,0,1,1,3,3,3
12,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,2
13,2,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,2
14,3,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1
15,4,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,2
16,1,1,1,2,1,1,0,0,1,1,1,1,0,0,0,0,0
17,2,1,1,2,1,1,0,0,1,1,1,1,0,0,1,0,0
18,3,1,1,2,1,1,0,0,1,1,1,1,0,0,0,0,0
19,4,1,1,2,1,1,0,0,1,1,1,1,0,0,1,0,0
20,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
21,2,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0
22,3,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
23,4,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
24,1,0,1,2,1,1,0,1,0,0,0,0,1,0,2,1,2
25,2,0,1,2,1,1,0,1,0,0,0,0,1,0,2,1,2
26,3,0,1,2,1,1,0,1,0,0,0,0,1,0,2,1,1
27,4,0,1,2,1,1,0,1,0,0,0,0,1,0,3,2,2
28,1,0,1,2,3,1,0,0,0,0,1,0,0,0,1,0,0
29,2,0,1,2,3,1,0,0,0,0,1,0,0,0,1,0,0
30,3,0,1,2,3,1,0,0,0,0,1,0,0,0,1,0,0
31,4,0,1,2,3,1,0,0,0,0,1,0,0,0,1,0,0
32,1,0,1,3,2,1,1,0,1,1,1,0,1,0,2,0,3
33,2,0,1,3,2,1,1,0,1,1,1,0,1,0,2,0,3
34,3,0,1,3,2,1,1,0,1,1,1,0,1,0,2,1,3
35,4,0,1,3,2,1,1,0,1,1,1,0,1,0,1,0,3
36,1,0,1,2,2,1,0,1,1,1,1,0,0,0,0,0,2
37,2,0,1,2,2,1,0,1,1,1,1,0,0,0,0,0,1
38,3,0,1,2,2,1,0,1,1,1,1,0,0,0,0,0,0
39,4,0,1,2,2,1,0,1,1,1,1,0,0,0,0,0,2
40,1,0,1,3,3,1,0,1,1,0,0,0,1,0,0,0,0
41,2,0,1,3,3,1,0,1,1,0,0,0,1,0,0,0,0
42,3,0,1,3,3,1,0,1,1,0,0,0,1,0,0,0,0
43,4,0,1,3,3,1,0,1,1,0,0,0,1,0,0,0,0
44,1,1,0,0,0,1,1,0,1,1,1,0,1,0,2,0,1
45,2,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,2
46,3,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,2
47,4,1,0,0,0,1,1,0,1,1,1,0,1,0,2,0,1
48,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0
49,2,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1
50,3,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0
51,4,1,0,1,0,1,0,0,0,1,1,0,1,0,2,0,1
52,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1
53,2,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1
54,3,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0
55,4,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1
56,1,0,1,2,2,1,1,1,0,1,0,0,1,0,0,1,2
57,2,0,1,2,2,1,1,1,0,1,0,0,1,0,1,1,1
58,3,0,1,2,2,1,1,1,0,1,0,0,1,0,0,1,1
59,4,0,1,2,2,1,1,1,0,1,0,0,1,0,0,1,1
60,1,0,1,2,1,1,0,0,1,0,0,1,1,0,1,0,1
61,2,0,1,2,1,1,0,0,1,0,0,1,1,0,2,0,2
62,3,0,1,2,1,1,0,0,1,0,0,1,1,0,1,0,0
