,event,trial,side,gender,age,height,weight,fre_side,VR_exp,game_fre,sport_fre,difficulty,enjoyment,fatigue,personality,familiarity,cut_mean,speed_mean,space_mean
0,1,1,left,0,2,2,4,1,0,0,0,0,1,0,0,1,3,0,2
1,1,1,right,0,2,2,4,1,0,0,0,0,1,0,0,1,3,0,2
2,1,2,left,0,2,2,4,1,0,0,0,0,1,0,0,1,2,0,3
3,1,2,right,0,2,2,4,1,0,0,0,0,1,0,0,1,3,0,3
4,1,3,left,0,2,2,4,1,0,0,0,0,1,0,0,1,3,0,3
5,1,3,right,0,2,2,4,1,0,0,0,0,1,0,0,1,3,0,3
6,2,1,left,0,2,2,4,1,0,0,0,0,1,0,0,1,3,0,1
7,2,1,right,0,2,2,4,1,0,0,0,0,1,0,0,1,3,0,1
8,2,2,left,0,2,2,4,1,0,0,0,0,1,0,0,1,2,0,3
9,2,2,right,0,2,2,4,1,0,0,0,0,1,0,0,1,3,0,3
10,2,3,left,0,2,2,4,1,0,0,0,0,1,0,0,1,3,0,3
11,2,3,right,0,2,2,4,1,0,0,0,0,1,0,0,1,3,0,3
12,3,1,left,0,2,2,4,1,0,0,0,0,1,0,0,1,3,0,1
13,3,1,right,0,2,2,4,1,0,0,0,0,1,0,0,1,3,0,1
14,3,2,left,0,2,2,4,1,0,0,0,0,1,0,0,1,3,1,3
15,3,2,right,0,2,2,4,1,0,0,0,0,1,0,0,1,3,0,3
16,3,3,left,0,2,2,4,1,0,0,0,0,1,0,0,1,3,0,3
17,3,3,right,0,2,2,4,1,0,0,0,0,1,0,0,1,3,0,3
18,5,1,left,0,2,2,4,1,0,0,0,0,1,0,0,1,3,0,1
19,5,1,right,0,2,2,4,1,0,0,0,0,1,0,0,1,3,0,1
20,5,2,left,0,2,2,4,1,0,0,0,0,1,0,0,1,2,0,3
21,5,2,right,0,2,2,4,1,0,0,0,0,1,0,0,1,3,0,3
22,5,3,left,0,2,2,4,1,0,0,0,0,1,0,0,1,3,0,2
23,5,3,right,0,2,2,4,1,0,0,0,0,1,0,0,1,3,0,2
24,1,1,left,0,1,3,4,1,0,0,0,0,1,0,1,0,3,3,3
25,1,1,right,0,1,3,4,1,0,0,0,0,1,0,1,0,3,3,3
26,1,2,left,0,1,3,4,1,0,0,0,0,1,0,1,0,3,3,3
27,1,2,right,0,1,3,4,1,0,0,0,0,1,0,1,0,3,3,3
28,1,3,left,0,1,3,4,1,0,0,0,0,1,0,1,0,3,3,3
29,1,3,right,0,1,3,4,1,0,0,0,0,1,0,1,0,3,3,3
30,2,1,left,0,1,3,4,1,0,0,0,0,1,0,1,0,3,3,3
31,2,1,right,0,1,3,4,1,0,0,0,0,1,0,1,0,3,3,3
32,2,2,left,0,1,3,4,1,0,0,0,0,1,0,1,0,3,3,3
33,2,2,right,0,1,3,4,1,0,0,0,0,1,0,1,0,3,3,3
34,2,3,left,0,1,3,4,1,0,0,0,0,1,0,1,0,3,3,3
35,2,3,right,0,1,3,4,1,0,0,0,0,1,0,1,0,3,3,3
36,3,1,left,0,1,3,4,1,0,0,0,0,1,0,1,0,3,3,3
37,3,1,right,0,1,3,4,1,0,0,0,0,1,0,1,0,3,3,3
38,3,2,left,0,1,3,4,1,0,0,0,0,1,0,1,0,3,3,3
39,3,2,right,0,1,3,4,1,0,0,0,0,1,0,1,0,3,3,3
40,3,3,left,0,1,3,4,1,0,0,0,0,1,0,1,0,3,3,3
41,3,3,right,0,1,3,4,1,0,0,0,0,1,0,1,0,3,3,3
42,5,1,left,0,1,3,4,1,0,0,0,0,1,0,1,0,3,3,3
43,5,1,right,0,1,3,4,1,0,0,0,0,1,0,1,0,3,3,3
44,5,2,left,0,1,3,4,1,0,0,0,0,1,0,1,0,3,3,3
45,5,2,right,0,1,3,4,1,0,0,0,0,1,0,1,0,3,3,3
46,5,3,left,0,1,3,4,1,0,0,0,0,1,0,1,0,3,3,3
47,5,3,right,0,1,3,4,1,0,0,0,0,1,0,1,0,3,3,3
48,1,1,left,0,0,2,2,1,0,0,1,0,1,0,1,0,2,3,3
49,1,1,right,0,0,2,2,1,0,0,1,0,1,0,1,0,2,3,3
50,1,2,left,0,0,2,2,1,0,0,1,0,1,0,1,0,1,3,3
51,1,2,right,0,0,2,2,1,0,0,1,0,1,0,1,0,2,3,3
52,1,3,left,0,0,2,2,1,0,0,1,0,1,0,1,0,1,3,3
53,1,3,right,0,0,2,2,1,0,0,1,0,1,0,1,0,1,3,3
54,2,1,left,0,0,2,2,1,0,0,1,0,1,0,1,0,1,3,3
55,2,1,right,0,0,2,2,1,0,0,1,0,1,0,1,0,1,3,3
56,2,2,left,0,0,2,2,1,0,0,1,0,1,0,1,0,2,3,3
57,2,2,right,0,0,2,2,1,0,0,1,0,1,0,1,0,1,3,3
58,2,3,left,0,0,2,2,1,0,0,1,0,1,0,1,0,1,3,3
59,2,3,right,0,0,2,2,1,0,0,1,0,1,0,1,0,1,3,3
60,3,1,left,0,0,2,2,1,0,0,1,0,1,0,1,0,1,3,2
61,3,1,right,0,0,2,2,1,0,0,1,0,1,0,1,0,1,3,2
62,3,2,left,0,0,2,2,1,0,0,1,0,1,0,1,0,0,2,3
63,3,2,right,0,0,2,2,1,0,0,1,0,1,0,1,0,2,3,3
64,3,3,left,0,0,2,2,1,0,0,1,0,1,0,1,0,1,3,2
65,3,3,right,0,0,2,2,1,0,0,1,0,1,0,1,0,0,3,2
66,5,1,left,0,0,2,2,1,0,0,1,0,1,0,1,0,2,3,3
67,5,1,right,0,0,2,2,1,0,0,1,0,1,0,1,0,1,3,3
68,5,2,left,0,0,2,2,1,0,0,1,0,1,0,1,0,1,3,3
69,5,2,right,0,0,2,2,1,0,0,1,0,1,0,1,0,1,3,3
70,5,3,left,0,0,2,2,1,0,0,1,0,1,0,1,0,1,3,3
71,5,3,right,0,0,2,2,1,0,0,1,0,1,0,1,0,1,3,3
72,1,1,left,0,1,2,1,1,0,0,0,1,1,1,0,0,0,1,2
73,1,1,right,0,1,2,1,1,0,0,0,1,1,1,0,0,1,2,2
74,1,2,left,0,1,2,1,1,0,0,0,1,1,1,0,0,1,2,3
75,1,2,right,0,1,2,1,1,0,0,0,1,1,1,0,0,2,2,3
76,1,3,left,0,1,2,1,1,0,0,0,1,1,1,0,0,1,1,3
77,1,3,right,0,1,2,1,1,0,0,0,1,1,1,0,0,3,2,3
78,2,1,left,0,1,2,1,1,0,0,0,1,1,1,0,0,1,1,2
79,2,1,right,0,1,2,1,1,0,0,0,1,1,1,0,0,0,1,2
80,2,2,left,0,1,2,1,1,0,0,0,1,1,1,0,0,1,1,2
81,2,2,right,0,1,2,1,1,0,0,0,1,1,1,0,0,1,1,2
82,2,3,left,0,1,2,1,1,0,0,0,1,1,1,0,0,1,1,3
83,2,3,right,0,1,2,1,1,0,0,0,1,1,1,0,0,2,1,3
84,3,1,left,0,1,2,1,1,0,0,0,1,1,1,0,0,0,1,2
85,3,1,right,0,1,2,1,1,0,0,0,1,1,1,0,0,3,3,2
86,3,2,left,0,1,2,1,1,0,0,0,1,1,1,0,0,0,0,2
87,3,2,right,0,1,2,1,1,0,0,0,1,1,1,0,0,2,3,2
88,3,3,left,0,1,2,1,1,0,0,0,1,1,1,0,0,3,2,3
89,3,3,right,0,1,2,1,1,0,0,0,1,1,1,0,0,3,2,3
90,5,1,left,0,1,2,1,1,0,0,0,1,1,1,0,0,1,1,1
91,5,1,right,0,1,2,1,1,0,0,0,1,1,1,0,0,1,2,1
92,5,2,left,0,1,2,1,1,0,0,0,1,1,1,0,0,2,2,3
93,5,2,right,0,1,2,1,1,0,0,0,1,1,1,0,0,2,3,3
94,5,3,left,0,1,2,1,1,0,0,0,1,1,1,0,0,2,2,3
95,5,3,right,0,1,2,1,1,0,0,0,1,1,1,0,0,2,2,3
96,1,1,left,1,1,1,0,1,1,0,0,1,1,1,1,1,3,3,3
97,1,1,right,1,1,1,0,1,1,0,0,1,1,1,1,1,3,3,3
98,1,2,left,1,1,1,0,1,1,0,0,1,1,1,1,1,3,3,3
99,1,2,right,1,1,1,0,1,1,0,0,1,1,1,1,1,3,3,3
100,1,3,left,1,1,1,0,1,1,0,0,1,1,1,1,1,3,3,3
101,1,3,right,1,1,1,0,1,1,0,0,1,1,1,1,1,3,3,3
102,2,1,left,1,1,1,0,1,1,0,0,1,1,1,1,1,3,3,3
103,2,1,right,1,1,1,0,1,1,0,0,1,1,1,1,1,3,3,3
104,2,2,left,1,1,1,0,1,1,0,0,1,1,1,1,1,3,3,3
105,2,2,right,1,1,1,0,1,1,0,0,1,1,1,1,1,3,3,3
106,2,3,left,1,1,1,0,1,1,0,0,1,1,1,1,1,3,3,3
107,2,3,right,1,1,1,0,1,1,0,0,1,1,1,1,1,3,3,3
108,3,1,left,1,1,1,0,1,1,0,0,1,1,1,1,1,3,3,3
109,3,1,right,1,1,1,0,1,1,0,0,1,1,1,1,1,3,3,3
110,3,2,left,1,1,1,0,1,1,0,0,1,1,1,1,1,3,3,3
111,3,2,right,1,1,1,0,1,1,0,0,1,1,1,1,1,3,3,3
112,3,3,left,1,1,1,0,1,1,0,0,1,1,1,1,1,3,3,3
113,3,3,right,1,1,1,0,1,1,0,0,1,1,1,1,1,3,3,3
114,5,1,left,1,1,1,0,1,1,0,0,1,1,1,1,1,3,3,3
115,5,1,right,1,1,1,0,1,1,0,0,1,1,1,1,1,3,3,3
116,5,2,left,1,1,1,0,1,1,0,0,1,1,1,1,1,3,3,3
117,5,2,right,1,1,1,0,1,1,0,0,1,1,1,1,1,3,3,3
