uid,event,cut_mean,cut_max,cut_min,cut_std,cut_var,speed_mean,speed_max,speed_min,speed_std,speed_var,space_mean,space_max,space_min,gender,age,height,weight,fre_side,VR_exp,game_fre,sport_fre,difficulty,enjoyment,fatigue,personality,familiarity
3,1,0.40868208105421294,1.325279637265326,0.10009967675098252,0.2886002590114408,0.08329010950147071,2.1215877422961738,4.984973394113472,0.8113865073446467,0.8934072967472867,0.7981765978812945,0.400762227605323,0.7463243262818117,0.07071067811865478,1,19,178,60,2,1,2,4,2,4,2,2,0
3,2,0.4107871757728255,1.1980087277813003,0.10071067811865476,0.2791865829295957,0.07794514808790402,2.0569291087268593,5.166178005527693,0.8767459844688286,0.7750782655610772,0.6007463177451677,0.3655296894030867,0.7443117626371357,0.010000000000000007,1,19,178,60,2,1,2,4,2,4,2,2,0
3,3,0.38622646680687606,1.1832658080900256,0.10803118619434347,0.2707236375900111,0.07329128794996767,2.0151248773900514,4.197650532253092,1.03295109438264,0.793452166292903,0.6295663401949007,0.38962436431048253,0.7742092740338363,0.1341640786499874,1,19,178,60,2,1,2,4,2,4,2,2,0
3,4,0.41310050722689134,1.3299446777332768,0.10071067811865453,0.2939524383212278,0.08640803599499523,2.012540560517372,4.4149912849434445,0.8383233532934131,0.798380376546431,0.637411225654421,0.4170248523593447,0.7392563831310488,0.1334166406412633,1,19,178,60,2,1,2,4,2,4,2,2,0
4,1,0.486453701636443,1.3464744768584187,0.10000000000000007,0.28671914072804977,0.0822078656598312,1.540760287720675,2.5568451691128464,0.8064516129032265,0.3770905623993473,0.14219729225065603,0.395269460897356,0.7300684899377592,0.0921954445729289,1,20,170,53,2,1,2,2,3,5,3,1,0
4,2,0.46154829582613016,1.0990565343918983,0.10071067811865472,0.25938660159722166,0.06728140908815579,1.4573923031413543,2.408064899350653,0.8379888268156424,0.32621994606261745,0.10641945320909704,0.36509255945356756,0.7200694410957877,0.05385164807134503,1,20,170,53,2,1,2,2,3,5,3,1,0
4,3,0.45759007346747765,1.146984405290455,0.10414213562373097,0.312892732037216,0.09790186176171306,1.5169184899315071,2.7478493461971016,0.8536240624895981,0.45772772273269674,0.20951466815806052,0.38123284820953285,0.6453681120105021,0.15811388300841894,1,20,170,53,2,1,2,2,3,5,3,1,0
4,4,0.5176084175547614,1.2969417104919303,0.10242640687119288,0.30026878205279295,0.09016134147546766,1.552245109372808,3.046155659195847,0.8466840294612279,0.42863890778085306,0.18373131326356268,0.39930188740767436,0.7083078426785913,0.14866068747318506,1,20,170,53,2,1,2,2,3,5,3,1,0
5,1,0.7894655107004889,2.6517594627249137,0.1006449510224598,0.5217781271336915,0.27225241395514277,2.02506282254656,4.169625737325053,0.7907142396415985,0.7133108305924044,0.5088123410404259,0.42189278783754824,0.7843468620451031,0.010000000000000007,2,21,164,48,2,3,1,3,2,5,1,1,1
5,2,0.6880064271322304,3.0531555097305647,0.10064495102245977,0.5004607063131736,0.2504609185634807,1.85628379830179,3.277349513134613,0.7871871422326275,0.6606037827825844,0.43639735782665995,0.38609382034462,0.7829431652425354,0.00999999999999998,2,21,164,48,2,3,1,3,2,5,1,1,1
5,3,1.138633754901767,2.2854840523663467,0.14796545909814854,0.5307490910811165,0.2816945976834312,2.1830668537570537,3.387843292253723,1.0103052631525005,0.5916742961162643,0.3500784726846768,0.4221940577507318,0.740607858451421,0.12529964086141668,2,21,164,48,2,3,1,3,2,5,1,1,1
5,4,0.7975281489541033,2.61650856904235,0.1007106781186548,0.5441893278890332,0.2961420245883177,1.95093351264334,4.05470076395906,0.8606788068076945,0.6873453500698408,0.472443630262632,0.41427392011478437,0.7877182237323191,0.0,2,21,164,48,2,3,1,3,2,5,1,1,1
7,1,0.4518837818289642,1.3831457204282358,0.10071067811865472,0.2600339732655612,0.0676176672522746,1.387711301036235,3.193607642904027,0.4712814871219415,0.4114825932054977,0.16931792451112107,0.39317782093821313,0.7294518489934754,0.13038404810405302,2,22,160,50,2,2,2,6,3,3,3,2,0
7,2,0.4310098830531913,1.3556567249291394,0.10009967675098227,0.2680845872477999,0.07186934591982322,1.3774276020937397,3.4739664192405977,0.4074074074074077,0.40948247584142855,0.1676758980212261,0.37845331347262534,0.7324616030891995,0.07071067811865475,2,22,160,50,2,2,2,6,3,3,3,2,0
7,3,0.431075778900928,1.1948850643451865,0.10009967675098252,0.31985995571519543,0.1023103912701268,1.3121299954963184,2.3022833609733846,0.4836868983191861,0.40399800295002186,0.16321438638760585,0.3811234529808047,0.6579513659838393,0.1562049935181331,2,22,160,50,2,2,2,6,3,3,3,2,0
7,4,0.46983737869612385,1.3291971685283568,0.1007106781186548,0.28908264504704606,0.08356877566739641,1.444451723007406,3.485608304720049,0.5434963171217368,0.4365715899357426,0.1905947531390222,0.40969282808786966,0.7083078426785913,0.15556349186104046,2,22,160,50,2,2,2,6,3,3,3,2,0
8,1,0.4003780524896146,1.1159564973535834,0.10009967675098252,0.19481888981860107,0.037954399830152225,1.3339729349339988,8.52191127276947,0.4564948938179261,0.5224819635171698,0.2729874022007571,0.334583531287458,0.5742821606144493,0.16401219466856728,2,21,172,66,2,1,1,4,3,5,3,2,0
8,2,0.4150729806211227,1.1929264787444038,0.1007106781186548,0.18235832192550877,0.033254557575487495,1.25815587267941,2.2963838467181548,0.4637094882902886,0.2949710960147173,0.08700794748412358,0.32713327970766104,0.5742821606144491,0.16401219466856726,2,21,172,66,2,1,1,4,3,5,3,2,0
8,3,0.3883468846752999,1.1563073254473184,0.1047870866461908,0.2156643579928549,0.04651111530847028,1.3202553828516008,1.7314164640068117,0.20862763379687754,0.32335746367320595,0.10456004931316869,0.3336339849692842,0.5556977595779922,0.19209372712298547,2,21,172,66,2,1,1,4,3,5,3,2,0
8,4,0.4546091965532246,1.0512539796166491,0.10071067811865478,0.23173234108168578,0.05369987790319876,1.3172358804923363,2.4016367107283427,0.4607639625868559,0.39285891794540173,0.1543381294092319,0.32099840909465893,0.5382378656319156,0.16492422502470644,2,21,172,66,2,1,1,4,3,5,3,2,0
9,1,0.3992106673008516,0.9893759888515614,0.1024264068711929,0.22232442885963755,0.049428151667764035,1.169190452847613,5.356792573780874,0.019887088218930482,0.4383983636135415,0.19219312521903095,0.38266340340957533,0.6166036003787198,0.14999999999999994,2,22,152,63,2,1,3,2,2,4,1,2,0
9,2,0.414144693325942,1.1648108752316808,0.1024264068711928,0.23277314769635868,0.054183338288470814,1.1155698863478851,2.0852838541634693,0.0453351243909236,0.3189762154334801,0.10174582601226591,0.3629192996770486,0.6171709649683789,0.14142135623730953,2,22,152,63,2,1,3,2,2,4,1,2,0
9,3,0.4102833152040837,0.8526201338483175,0.1129252873988395,0.22307001001567947,0.04976022936839534,1.1312436627315883,1.8759745794301848,0.5646264369941977,0.35130913458639823,0.12341810804384408,0.38181811231972246,0.5124451190127582,0.27294688127912364,2,22,152,63,2,1,3,2,2,4,1,2,0
9,4,0.3904895943387039,1.0225810562571591,0.10009967675098252,0.206726630099029,0.04273589959210076,1.1159911495746173,2.2133789096475294,0.003660605965390208,0.37251158180050115,0.13876487857551145,0.3879957246232799,0.6184658438426491,0.16643316977093242,2,22,152,63,2,1,3,2,2,4,1,2,0
10,1,0.6470203874310989,1.9600599199088449,0.1000996767509824,0.418331368290257,0.17500113369559867,1.551181898274147,2.7193836753683645,0.06301700544785171,0.45754616196661496,0.20934849033037986,0.37184559827009356,0.7156116265125938,0.0921954445729289,1,22,170,65,2,1,3,3,2,3,1,1,0
