,event,gender,age,height,weight,fre_side,VR_exp,game_fre,sport_fre,difficulty,enjoyment,fatigue,personality,familiarity,cut_mean,speed_mean,space_max,space_mean
0,1,1,19,178,60,2,1,2,4,2,4,2,2,0,False,True,True,True
1,2,1,19,178,60,2,1,2,4,2,4,2,2,0,False,True,True,False
2,3,1,19,178,60,2,1,2,4,2,4,2,2,0,False,True,True,True
3,4,1,19,178,60,2,1,2,4,2,4,2,2,0,False,True,True,True
4,1,1,20,170,53,2,1,2,2,3,5,3,1,0,False,False,True,True
5,2,1,20,170,53,2,1,2,2,3,5,3,1,0,False,False,True,False
6,3,1,20,170,53,2,1,2,2,3,5,3,1,0,False,False,False,True
7,4,1,20,170,53,2,1,2,2,3,5,3,1,0,False,False,True,True
8,1,2,21,164,48,2,3,1,3,2,5,1,1,1,True,True,True,True
9,2,2,21,164,48,2,3,1,3,2,5,1,1,1,True,True,True,True
10,3,2,21,164,48,2,3,1,3,2,5,1,1,1,True,True,True,True
11,4,2,21,164,48,2,3,1,3,2,5,1,1,1,True,True,True,True
12,1,2,22,160,50,2,2,2,6,3,3,3,2,0,False,False,True,True
13,2,2,22,160,50,2,2,2,6,3,3,3,2,0,False,False,True,True
14,3,2,22,160,50,2,2,2,6,3,3,3,2,0,False,False,False,True
15,4,2,22,160,50,2,2,2,6,3,3,3,2,0,False,False,True,True
16,1,2,21,172,66,2,1,1,4,3,5,3,2,0,False,False,False,False
17,2,2,21,172,66,2,1,1,4,3,5,3,2,0,False,False,False,False
18,3,2,21,172,66,2,1,1,4,3,5,3,2,0,False,False,False,False
19,4,2,21,172,66,2,1,1,4,3,5,3,2,0,False,False,False,False
20,1,2,22,152,63,2,1,3,2,2,4,1,2,0,False,False,False,True
21,2,2,22,152,63,2,1,3,2,2,4,1,2,0,False,False,False,False
22,3,2,22,152,63,2,1,3,2,2,4,1,2,0,False,False,False,True
23,4,2,22,152,63,2,1,3,2,2,4,1,2,0,False,False,False,True
24,1,1,22,170,65,2,1,3,3,2,3,1,1,0,True,False,True,False
25,2,1,22,170,65,2,1,3,3,2,3,1,1,0,True,False,True,False
26,3,1,22,170,65,2,1,3,3,2,3,1,1,0,True,False,False,False
27,4,1,22,170,65,2,1,3,3,2,3,1,1,0,True,True,True,True
28,1,1,21,175,85,2,1,1,2,2,5,1,2,0,False,False,False,False
29,2,1,21,175,85,2,1,1,2,2,5,1,2,0,False,False,False,False
30,3,1,21,175,85,2,1,1,2,2,5,1,2,0,False,False,False,False
31,4,1,21,175,85,2,1,1,2,2,5,1,2,0,False,False,False,False
32,1,1,23,187,75,2,2,1,4,3,5,1,1,0,True,False,True,True
33,2,1,23,187,75,2,2,1,4,3,5,1,1,0,True,False,True,True
34,3,1,23,187,75,2,2,1,4,3,5,1,1,0,True,False,True,True
35,4,1,23,187,75,2,2,1,4,3,5,1,1,0,False,False,True,True
36,1,1,21,173,70,2,1,3,6,4,4,2,2,0,False,False,True,True
37,2,1,21,173,70,2,1,3,6,4,4,2,2,0,False,False,False,True
38,3,1,21,173,70,2,1,3,6,4,4,2,2,0,False,False,False,True
39,4,1,21,173,70,2,1,3,6,4,4,2,2,0,False,False,True,True
40,1,1,22,191,95,2,1,4,9,2,2,1,1,0,False,False,False,False
41,2,1,22,191,95,2,1,4,9,2,2,1,1,0,False,False,False,False
42,3,1,22,191,95,2,1,4,9,2,2,1,1,0,False,False,False,False
43,4,1,22,191,95,2,1,4,9,2,2,1,1,0,False,False,False,False
44,1,2,19,158,49,2,2,2,4,3,4,1,1,0,True,False,False,True
45,2,2,19,158,49,2,2,2,4,3,4,1,1,0,False,False,True,False
46,3,2,19,158,49,2,2,2,4,3,4,1,1,0,False,False,True,True
47,4,2,19,158,49,2,2,2,4,3,4,1,1,0,True,False,False,True
48,1,2,18,162,51,2,1,2,2,4,5,2,1,0,False,False,False,True
49,2,2,18,162,51,2,1,2,2,4,5,2,1,0,False,False,False,True
50,3,2,18,162,51,2,1,2,2,4,5,2,1,0,False,False,False,True
51,4,2,18,162,51,2,1,2,2,4,5,2,1,0,True,False,False,True
52,1,2,18,160,54,2,1,1,2,3,4,2,1,0,False,False,False,False
53,2,2,18,160,54,2,1,1,2,3,4,2,1,0,False,False,False,False
54,3,2,18,160,54,2,1,1,2,3,4,2,1,0,False,False,False,False
55,4,2,18,160,54,2,1,1,2,3,4,2,1,0,False,False,False,False
56,1,1,21,170,70,2,2,4,1,3,3,1,1,0,False,False,True,True
