,event,gender,age,height,weight,fre_side,VR_exp,game_fre,sport_fre,difficulty,enjoyment,fatigue,personality,familiarity,cut_mean,speed_mean,space_max,space_mean
0,1,1,19,178,60,2,1,2,4,2,4,2,2,0,0.0,3.0,2.0,2.0
1,2,1,19,178,60,2,1,2,4,2,4,2,2,0,0.0,3.0,2.0,1.0
2,3,1,19,178,60,2,1,2,4,2,4,2,2,0,0.0,3.0,3.0,2.0
3,4,1,19,178,60,2,1,2,4,2,4,2,2,0,0.0,3.0,2.0,3.0
4,1,1,20,170,53,2,1,2,2,3,5,3,1,0,1.0,1.0,2.0,2.0
5,2,1,20,170,53,2,1,2,2,3,5,3,1,0,1.0,1.0,2.0,1.0
6,3,1,20,170,53,2,1,2,2,3,5,3,1,0,1.0,1.0,0.0,2.0
7,4,1,20,170,53,2,1,2,2,3,5,3,1,0,1.0,1.0,2.0,2.0
8,1,2,21,164,48,2,3,1,3,2,5,1,1,1,3.0,3.0,3.0,3.0
9,2,2,21,164,48,2,3,1,3,2,5,1,1,1,3.0,3.0,3.0,2.0
10,3,2,21,164,48,2,3,1,3,2,5,1,1,1,3.0,3.0,2.0,3.0
11,4,2,21,164,48,2,3,1,3,2,5,1,1,1,3.0,3.0,3.0,3.0
12,1,2,22,160,50,2,2,2,6,3,3,3,2,0,1.0,1.0,2.0,2.0
13,2,2,22,160,50,2,2,2,6,3,3,3,2,0,1.0,1.0,2.0,2.0
14,3,2,22,160,50,2,2,2,6,3,3,3,2,0,1.0,0.0,1.0,2.0
15,4,2,22,160,50,2,2,2,6,3,3,3,2,0,1.0,1.0,2.0,2.0
16,1,2,21,172,66,2,1,1,4,3,5,3,2,0,0.0,0.0,0.0,0.0
17,2,2,21,172,66,2,1,1,4,3,5,3,2,0,1.0,0.0,0.0,0.0
18,3,2,21,172,66,2,1,1,4,3,5,3,2,0,0.0,0.0,0.0,0.0
19,4,2,21,172,66,2,1,1,4,3,5,3,2,0,1.0,0.0,0.0,0.0
20,1,2,22,152,63,2,1,3,2,2,4,1,2,0,0.0,0.0,0.0,2.0
21,2,2,22,152,63,2,1,3,2,2,4,1,2,0,1.0,0.0,0.0,1.0
22,3,2,22,152,63,2,1,3,2,2,4,1,2,0,0.0,0.0,0.0,2.0
23,4,2,22,152,63,2,1,3,2,2,4,1,2,0,0.0,0.0,0.0,2.0
24,1,1,22,170,65,2,1,3,3,2,3,1,1,0,2.0,1.0,2.0,1.0
25,2,1,22,170,65,2,1,3,3,2,3,1,1,0,2.0,1.0,2.0,1.0
26,3,1,22,170,65,2,1,3,3,2,3,1,1,0,2.0,1.0,1.0,1.0
27,4,1,22,170,65,2,1,3,3,2,3,1,1,0,3.0,2.0,2.0,2.0
28,1,1,21,175,85,2,1,1,2,2,5,1,2,0,1.0,0.0,0.0,1.0
29,2,1,21,175,85,2,1,1,2,2,5,1,2,0,1.0,0.0,0.0,0.0
30,3,1,21,175,85,2,1,1,2,2,5,1,2,0,1.0,0.0,0.0,1.0
31,4,1,21,175,85,2,1,1,2,2,5,1,2,0,1.0,0.0,0.0,1.0
32,1,1,23,187,75,2,2,1,4,3,5,1,1,0,2.0,0.0,3.0,3.0
33,2,1,23,187,75,2,2,1,4,3,5,1,1,0,2.0,0.0,3.0,3.0
34,3,1,23,187,75,2,2,1,4,3,5,1,1,0,2.0,1.0,3.0,3.0
35,4,1,23,187,75,2,2,1,4,3,5,1,1,0,1.0,0.0,3.0,3.0
36,1,1,21,173,70,2,1,3,6,4,4,2,2,0,0.0,0.0,2.0,3.0
37,2,1,21,173,70,2,1,3,6,4,4,2,2,0,0.0,0.0,1.0,3.0
38,3,1,21,173,70,2,1,3,6,4,4,2,2,0,0.0,0.0,0.0,3.0
39,4,1,21,173,70,2,1,3,6,4,4,2,2,0,0.0,0.0,2.0,3.0
40,1,1,22,191,95,2,1,4,9,2,2,1,1,0,0.0,0.0,0.0,0.0
41,2,1,22,191,95,2,1,4,9,2,2,1,1,0,0.0,0.0,0.0,0.0
42,3,1,22,191,95,2,1,4,9,2,2,1,1,0,0.0,0.0,0.0,1.0
43,4,1,22,191,95,2,1,4,9,2,2,1,1,0,0.0,0.0,0.0,1.0
44,1,2,19,158,49,2,2,2,4,3,4,1,1,0,2.0,0.0,1.0,2.0
45,2,2,19,158,49,2,2,2,4,3,4,1,1,0,1.0,0.0,2.0,1.0
46,3,2,19,158,49,2,2,2,4,3,4,1,1,0,1.0,0.0,2.0,2.0
47,4,2,19,158,49,2,2,2,4,3,4,1,1,0,2.0,0.0,1.0,2.0
48,1,2,18,162,51,2,1,2,2,4,5,2,1,0,1.0,0.0,0.0,2.0
49,2,2,18,162,51,2,1,2,2,4,5,2,1,0,1.0,0.0,1.0,2.0
50,3,2,18,162,51,2,1,2,2,4,5,2,1,0,0.0,0.0,0.0,2.0
51,4,2,18,162,51,2,1,2,2,4,5,2,1,0,2.0,0.0,1.0,2.0
52,1,2,18,160,54,2,1,1,2,3,4,2,1,0,0.0,0.0,1.0,1.0
53,2,2,18,160,54,2,1,1,2,3,4,2,1,0,0.0,0.0,1.0,0.0
54,3,2,18,160,54,2,1,1,2,3,4,2,1,0,0.0,0.0,0.0,1.0
55,4,2,18,160,54,2,1,1,2,3,4,2,1,0,1.0,0.0,1.0,1.0
56,1,1,21,170,70,2,2,4,1,3,3,1,1,0,0.0,1.0,2.0,2.0
57,2,1,21,170,70,2,2,4,1,3,3,1,1,0,1.0,1.0,1.0,2.0
58,3,1,21,170,70,2,2,4,1,3,3,1,1,0,0.0,1.0,1.0,2.0
59,4,1,21,170,70,2,2,4,1,3,3,1,1,0,0.0,1.0,1.0,2.0
60,1,1,22,175,55,2,1,1,6,2,3,4,1,0,1.0,0.0,1.0,0.0
61,2,1,22,175,55,2,1,1,6,2,3,4,1,0,2.0,0.0,2.0,0.0
62,3,1,22,175,55,2,1,1,6,2,3,4,1,0,1.0,0.0,0.0,0.0
63,4,1,22,175,55,2,1,1,6,2,3,4,1,0,2.0,1.0,1.0,0.0
64,1,1,20,173,70,2,3,4,2,2,4,2,2,1,3.0,3.0,3.0,3.0
65,2,1,20,173,70,2,3,4,2,2,4,2,2,1,3.0,2.0,3.0,1.0
66,3,1,20,173,70,2,3,4,2,2,4,2,2,1,3.0,3.0,2.0,2.0
67,4,1,20,173,70,2,3,4,2,2,4,2,2,1,3.0,3.0,3.0,3.0
68,1,2,19,166,50,2,1,3,4,3,4,3,1,0,2.0,2.0,2.0,1.0
