,Unnamed: 0,event,age,height,weight,VR_exp,sport_fre,personality,familiarity,cut_mean,speed_mean,space_max
0,Unnamed: 00,event1,age0,height2,weight1,VR_exp0,sport_fre1,personality0,familiarity0,cut_meanFalse,speed_meanTrue,space_maxTrue
1,Unnamed: 01,event2,age0,height2,weight1,VR_exp0,sport_fre1,personality0,familiarity0,cut_meanFalse,speed_meanTrue,space_maxTrue
2,Unnamed: 02,event3,age0,height2,weight1,VR_exp0,sport_fre1,personality0,familiarity0,cut_meanFalse,speed_meanTrue,space_maxTrue
3,Unnamed: 03,event4,age0,height2,weight1,VR_exp0,sport_fre1,personality0,familiarity0,cut_meanFalse,speed_meanTrue,space_maxTrue
4,Unnamed: 04,event1,age0,height2,weight0,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxTrue
5,Unnamed: 05,event2,age0,height2,weight0,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxTrue
6,Unnamed: 06,event3,age0,height2,weight0,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
7,Unnamed: 07,event4,age0,height2,weight0,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxTrue
8,Unnamed: 08,event1,age1,height1,weight0,VR_exp1,sport_fre0,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxTrue
9,Unnamed: 09,event2,age1,height1,weight0,VR_exp1,sport_fre0,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxTrue
10,Unnamed: 010,event3,age1,height1,weight0,VR_exp1,sport_fre0,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxTrue
11,Unnamed: 011,event4,age1,height1,weight0,VR_exp1,sport_fre0,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxTrue
12,Unnamed: 012,event1,age1,height1,weight0,VR_exp1,sport_fre1,personality0,familiarity0,cut_meanFalse,speed_meanFalse,space_maxTrue
13,Unnamed: 013,event2,age1,height1,weight0,VR_exp1,sport_fre1,personality0,familiarity0,cut_meanFalse,speed_meanFalse,space_maxTrue
14,Unnamed: 014,event3,age1,height1,weight0,VR_exp1,sport_fre1,personality0,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
15,Unnamed: 015,event4,age1,height1,weight0,VR_exp1,sport_fre1,personality0,familiarity0,cut_meanFalse,speed_meanFalse,space_maxTrue
16,Unnamed: 016,event1,age1,height2,weight1,VR_exp0,sport_fre1,personality0,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
17,Unnamed: 017,event2,age1,height2,weight1,VR_exp0,sport_fre1,personality0,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
