,event,gender,age,height,weight,fre_side,VR_exp,game_fre,sport_fre,difficulty,enjoyment,fatigue,personality,familiarity,cut_mean,speed_mean,space_max
event,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0.045,-0.052
gender,0,1,0.179,-0.658,-0.622,0,-0.149,-0.416,-0.037,0.142,0.183,0.298,0.11,0.11,0.123,0.062,0.077
age,0,0.179,1,-0.126,-0.007,-0.142,0.04,-0.042,-0.086,-0.071,-0.059,0.04,-0.144,0.22,0.193,0.16,0.056
height,0,-0.658,-0.126,1,0.692,0.102,-0.021,0.229,0.171,-0.228,-0.087,-0.338,-0.101,-0.106,-0.193,-0.144,-0.031
weight,0,-0.622,-0.007,0.692,1,0.021,0.022,0.4,0.014,-0.14,-0.093,-0.489,-0.2,-0.116,-0.176,-0.146,-0.108
fre_side,0,0,-0.142,0.102,0.021,1,-0.077,-0.02,-0.069,-0.148,0.414,-0.077,0.069,0.132,-0.085,-0.232,0.063
VR_exp,0,-0.149,0.04,-0.021,0.022,-0.077,1,0.145,0.008,0.064,-0.088,-0.047,-0.008,0.167,0.275,0.183,0.192
game_fre,0,-0.416,-0.042,0.229,0.4,-0.02,0.145,1,-0.112,-0.153,-0.047,-0.38,0.038,0.11,0.054,0.116,-0.109
sport_fre,0,-0.037,-0.086,0.171,0.014,-0.069,0.008,-0.112,1,0.091,-0.07,0.088,0.096,-0.331,-0.148,-0.14,0.09
difficulty,0,0.142,-0.071,-0.228,-0.14,-0.148,0.064,-0.153,0.091,1,0.114,0.448,0.136,-0.211,-0.079,-0.119,0.032
enjoyment,0,0.183,-0.059,-0.087,-0.093,0.414,-0.088,-0.047,-0.07,0.114,1,-0.088,-0.027,0.221,-0.031,0.051,0.102
fatigue,0,0.298,0.04,-0.338,-0.489,-0.077,-0.047,-0.38,0.088,0.448,-0.088,1,0.071,-0.071,0.008,-0.092,0.025
personality,0,0.11,-0.144,-0.101,-0.2,0.069,-0.008,0.038,0.096,0.136,-0.027,0.071,1,-0.061,0.115,0.058,0.074
familiarity,0,0.11,0.22,-0.106,-0.116,0.132,0.167,0.11,-0.331,-0.211,0.221,-0.071,-0.061,1,0.559,0.55,0.312
cut_mean,0.045,0.123,0.193,-0.193,-0.176,-0.085,0.275,0.054,-0.148,-0.079,-0.031,0.008,0.115,0.559,1,0.69,0.438
speed_mean,0.045,0.062,0.16,-0.144,-0.146,-0.232,0.183,0.116,-0.14,-0.119,0.051,-0.092,0.058,0.55,0.69,1,0.472
space_max,-0.052,0.077,0.056,-0.031,-0.108,0.063,0.192,-0.109,0.09,0.032,0.102,0.025,0.074,0.312,0.438,0.472,1
