time,lc_x,lc_y,lc_z,rc_x,rc_y,rc_z,lt_x,lt_y,lt_z,rt_x,rt_y,rt_z,hs_x,hs_y,hs_z,lc_s_x,lc_s_y,lc_s_z,rc_s_x,rc_s_y,rc_s_z
2021.4.13 11:13:51:29,-0.15,1.20,0.05,0.04,1.22,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.02,0.01,0.01,0.01,0.01,0.01
2021.4.13 11:13:51:36,-0.15,1.20,0.05,0.04,1.22,0.05,-0.22,0.21,-0.21,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.02,0.02,0.00,0.01,0.01,0.01
2021.4.13 11:13:51:46,-0.15,1.20,0.05,0.04,1.22,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.02,0.02,0.00,0.01,0.00,0.01
2021.4.13 11:13:51:57,-0.15,1.20,0.05,0.04,1.22,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.01,0.01,0.00,0.01,0.00,0.01
2021.4.13 11:13:51:86,-0.15,1.20,0.05,0.04,1.22,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.01,0.02,0.00,0.01,0.00,0.01
2021.4.13 11:13:51:249,-0.15,1.20,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.01,0.01,0.00,-0.01,0.02,0.00
2021.4.13 11:13:51:261,-0.15,1.20,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.01,0.00,0.00,0.00,0.02,0.00
2021.4.13 11:13:51:301,-0.15,1.20,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.00,0.00,0.00,-0.01,0.02,0.00
2021.4.13 11:13:51:309,-0.15,1.20,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.00,0.00,0.00,-0.01,0.01,0.00
2021.4.13 11:13:51:314,-0.15,1.20,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.00,0.00,0.00,0.00,0.01,0.00
