time,lc_x,lc_y,lc_z,rc_x,rc_y,rc_z,lt_x,lt_y,lt_z,rt_x,rt_y,rt_z,hs_x,hs_y,hs_z
2021.4.4 16:09:35:700,-0.43,1.04,0.51,-0.18,1.02,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-0.29,1.42,0.29
2021.4.4 16:09:35:880,-0.43,1.04,0.51,-0.18,1.02,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-0.29,1.42,0.29
2021.4.4 16:09:35:903,-0.43,1.04,0.51,-0.18,1.02,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-0.29,1.42,0.29
2021.4.4 16:09:35:922,-0.43,1.04,0.51,-0.18,1.02,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-0.29,1.42,0.29
2021.4.4 16:09:35:937,-0.43,1.04,0.51,-0.18,1.02,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-0.29,1.42,0.29
2021.4.4 16:09:35:949,-0.43,1.04,0.51,-0.18,1.02,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-0.29,1.42,0.29
2021.4.4 16:09:35:959,-0.43,1.04,0.51,-0.18,1.02,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-0.29,1.42,0.29
2021.4.4 16:09:35:968,-0.43,1.04,0.51,-0.18,1.02,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-0.29,1.42,0.29
2021.4.4 16:09:35:978,-0.43,1.04,0.51,-0.18,1.02,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-0.29,1.42,0.29
2021.4.4 16:09:35:988,-0.43,1.04,0.51,-0.18,1.02,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-0.29,1.42,0.29
2021.4.4 16:09:35:997,-0.43,1.04,0.51,-0.18,1.02,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-0.29,1.42,0.29
2021.4.4 16:09:36:08,-0.43,1.04,0.51,-0.18,1.02,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-0.29,1.42,0.29
2021.4.4 16:09:36:32,-0.43,1.04,0.51,-0.18,1.02,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-0.29,1.42,0.29
2021.4.4 16:09:36:53,-0.43,1.04,0.51,-0.18,1.02,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-0.29,1.42,0.29
2021.4.4 16:09:36:75,-0.43,1.04,0.51,-0.18,1.02,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-0.29,1.42,0.29
2021.4.4 16:09:36:97,-0.43,1.04,0.51,-0.18,1.02,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-0.29,1.42,0.29
2021.4.4 16:09:36:123,-0.43,1.04,0.51,-0.18,1.02,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-0.29,1.42,0.29
2021.4.4 16:09:36:141,-0.43,1.04,0.51,-0.18,1.02,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-0.29,1.42,0.29
2021.4.4 16:09:36:163,-0.43,1.04,0.51,-0.18,1.02,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-0.29,1.42,0.29
2021.4.4 16:09:36:186,-0.43,1.04,0.51,-0.18,1.02,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-0.29,1.42,0.29
2021.4.4 16:09:36:211,-0.43,1.04,0.51,-0.18,1.02,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-0.29,1.42,0.29
2021.4.4 16:09:36:231,-0.43,1.04,0.51,-0.18,1.02,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-0.29,1.42,0.29
2021.4.4 16:09:36:253,-0.43,1.04,0.51,-0.18,1.02,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-0.29,1.42,0.29
