event,lc_s_x_min,lc_s_x_mean,lc_s_x_max,lc_s_y_min,lc_s_y_mean,lc_s_y_max,lc_s_z_min,lc_s_z_mean,lc_s_z_max,rc_s_x_min,rc_s_x_mean,rc_s_x_max,rc_s_y_min,rc_s_y_mean,rc_s_y_max,rc_s_z_min,rc_s_z_mean,rc_s_z_max
5,0.0,0.042390438247011955,0.27,0.0,0.1454183266932271,1.22,0.0,0.03390438247011952,0.19,0.0,0.03390438247011952,0.19,0.0,0.024940239043824704,0.15,0.0,0.009760956175298806,0.05
2,0.0,0.05013698630136987,0.18,0.0,0.27863013698630135,1.15,0.0,0.07027397260273974,0.29,0.0,0.07027397260273974,0.29,0.01,0.24205479452054793,0.72,0.0,0.050684931506849315,0.14
2,0.0,0.06240000000000001,0.33,0.0,0.07893333333333333,0.45,0.0,0.0216,0.07,0.0,0.0216,0.07,0.0,0.13533333333333333,0.35,0.0,0.06199999999999998,0.22
5,0.0,0.12700000000000003,0.37,0.0,0.504,1.1,0.0,0.15560000000000002,0.33,0.0,0.15560000000000002,0.33,0.0,0.038200000000000005,0.1,0.0,0.012600000000000002,0.03
2,0.0,0.09972972972972972,0.19,0.0,0.1339189189189189,0.32,0.0,0.013243243243243243,0.15,0.0,0.013243243243243243,0.15,0.0,0.20351351351351352,0.68,0.0,0.09243243243243243,0.27
1,0.0,0.06706666666666666,0.19,0.0,0.18080000000000002,0.38,0.0,0.04346666666666667,0.32,0.0,0.04346666666666667,0.32,0.0,0.08853333333333332,0.48,0.0,0.016133333333333333,0.07
5,0.0,0.08042553191489361,0.2,0.01,0.3872340425531915,1.06,0.0,0.27893617021276595,0.86,0.0,0.27893617021276595,0.86,0.0,0.14574468085106385,0.62,0.0,0.007872340425531916,0.05
1,0.02,0.24230769230769228,1.13,0.02,0.2813461538461538,1.63,0.0,0.1394230769230769,0.65,0.0,0.1394230769230769,0.65,0.0,0.16557692307692307,0.65,0.0,0.06288461538461539,0.14
2,0.08,0.11599999999999999,0.25,0.0,0.06280000000000001,0.23,0.01,0.0344,0.1,0.01,0.0344,0.1,0.0,0.5072,1.03,0.01,0.19200000000000003,0.48
1,0.0,0.21546666666666667,0.9,0.01,0.28173333333333334,0.97,0.0,0.18173333333333333,0.76,0.0,0.18173333333333333,0.76,0.01,0.26066666666666666,0.5,0.02,0.07573333333333333,0.19
1,0.02,0.03958333333333333,0.06,0.05,0.06791666666666667,0.09,0.0,0.023333333333333334,0.04,0.0,0.023333333333333334,0.04,0.0,0.5804166666666667,1.19,0.09,0.1825,0.32
5,0.01,0.12960000000000002,0.39,0.01,0.4752,1.55,0.0,0.27399999999999997,1.15,0.0,0.27399999999999997,1.15,0.0,0.10280000000000002,0.34,0.09,0.1696,0.28
5,0.02,0.292,0.65,0.04,0.5516000000000001,0.9,0.04,0.3722,0.92,0.04,0.3722,0.92,0.0,0.15839999999999999,0.39,0.03,0.19079999999999997,0.28
2,0.0,0.09150000000000003,0.29,0.0,0.2582,1.61,0.0,0.10280000000000002,0.4,0.0,0.10280000000000002,0.4,0.02,0.34080000000000005,1.33,0.02,0.19109999999999996,0.57
1,0.0,0.012653061224489795,0.04,0.0,0.02,0.08,0.0,0.012244897959183673,0.03,0.0,0.012244897959183673,0.03,0.0,0.3789795918367348,0.64,0.0,0.09795918367346938,0.28
2,0.0,0.03326530612244898,0.06,0.0,0.010816326530612246,0.02,0.0,0.010408163265306122,0.02,0.0,0.010408163265306122,0.02,0.01,0.14204081632653062,0.59,0.01,0.1495918367346939,0.45
1,0.0,0.0228,0.05,0.0,0.012000000000000002,0.03,0.0,0.01,0.02,0.0,0.01,0.02,0.0,0.26580000000000004,0.67,0.01,0.12440000000000001,0.36
2,0.0,0.0166,0.04,0.0,0.009200000000000002,0.03,0.0,0.005,0.01,0.0,0.005,0.01,0.0,0.2782,0.8,0.0,0.15540000000000004,0.39
1,0.0,0.029200000000000004,0.05,0.0,0.018199999999999997,0.06,0.0,0.009000000000000001,0.02,0.0,0.009000000000000001,0.02,0.01,0.3814,0.98,0.0,0.17480000000000004,0.67
2,0.0,0.0114,0.04,0.0,0.0148,0.03,0.0,0.008400000000000001,0.02,0.0,0.008400000000000001,0.02,0.04,0.5094,1.08,0.01,0.19039999999999996,0.36
