uid,gender,age,height,weight,side,VR_exp,game_fre,sport_fre,difficulty,enjoyment,fatigue,personality,familiarity
1,1,22,172,90,2,1,2,2,2,4,1,1,1
2,1,20,181,90,2,1,2,2,2,4,2,2,0
3,1,19,178,60,2,1,2,4,2,4,2,2,0
4,1,20,170,53,2,1,2,2,3,5,3,1,0
5,2,21,164,48,2,3,1,3,2,5,1,1,1
6,2,21,164,75,2,3,3,2,,,,,1
7,2,22,160,50,2,2,2,6,3,3,3,2,0
8,2,21,172,66,2,1,1,4,3,5,3,2,0
9,2,22,152,63,2,1,3,2,2,4,1,2,0
10,1,22,170,65,2,1,3,3,2,3,1,1,0
11,1,21,175,85,2,1,1,2,2,5,1,2,0
12,1,23,187,75,2,2,1,4,3,5,1,1,0
13,1,21,173,70,2,1,3,6,4,4,2,2,0
14,1,22,191,95,2,1,4,9,2,2,1,1,0
15,2,19,158,49,2,2,2,4,3,4,1,1,0
16,2,18,162,51,2,1,2,2,4,5,2,1,0
17,2,18,160,54,2,1,1,2,3,4,2,1,0
18,1,21,170,70,2,2,4,1,3,3,1,1,0
19,1,22,175,55,2,1,1,6,2,3,4,1,0
20,1,20,173,70,2,3,4,2,2,4,2,2,1
21,2,19,166,50,2,1,3,4,3,4,3,1,0
22,2,19,174,79,2,2,2,1,2,3,2,1,0
23,1,22,168,72,2,2,4,1,3,4,2,1,0
24,2,22,163,60,2,2,4,2,3,4,4,2,1
25,2,22,168,54,2,1,1,4,3,5,3,1,0
26,1,22,180,75,2,2,2,2,3,5,1,2,0
27,1,20,176,69,2,3,2,2,3,4,3,1,1
28,1,19,173,69,2,1,3,2,2,3,2,1,0
29,1,21,178,70,2,1,3,1,3,5,1,1,1
30,1,19,180,85,2,1,3,3,3,4,2,2,0
31,1,18,163,55,2,1,4,2,1,4,2,1,1
32,1,19,180,95,2,1,4,4,3,4,2,1,1
33,1,20,165,60,2,1,2,2,3,3,3,2,1
34,1,19,173,61,2,2,4,2,3,4,3,1,0
35,1,22,178,80,1,1,3,1,3,3,2,2,0
36,2,21,160,55,2,1,1,1,2,4,2,1,0
37,2,18,150,40,2,2,3,2,3,4,2,1,1
38,2,18,174,61,2,1,2,4,2,4,2,2,0
39,2,19,168,65,2,1,1,6,3,4,3,1,0
40,1,19,183,75,2,1,3,2,2,4,1,1,0
41,1,19,175,73,2,1,2,6,3,4,1,1,0
42,1,21,185,62,2,3,4,3,2,4,2,2,1
43,2,24,165,59,2,1,4,1,1,5,1,2,0
44,2,22,149,44,1,2,1,4,3,3,3,1,0
45,1,22,183,83,2,2,3,6,2,4,1,1,1
46,1,22,176,60,2,1,1,2,2,5,2,2,0
47,1,22,168,55,2,2,4,6,4,4,1,1,0
48,2,53,168,67,2,1,1,4,1,5,1,1,0
49,1,20,187,72,2,1,4,6,3,5,1,1,0
50,2,23,170,140,2,1,2,2,4,4,2,2,0
51,2,22,165,60,2,1,3,1,3,5,1,1,0
52,2,22,165,51,2,1,2,1,4,5,3,1,1
53,2,24,162,105,2,1,2,1,3,5,3,1,1
54,2,23,164,55,2,1,2,1,3,5,3,1,0
55,2,22,173,64,2,1,3,1,2,5,1,1,1
56,2,22,172,52,2,1,2,4,1,5,2,1,1
57,2,22,159,48,2,1,1,1,3,5,3,2,1
58,2,25,160,60,2,1,1,1,3,4,1,1,1
59,2,23,166,60,2,1,2,1,2,4,1,2,1
60,2,23,163,50,2,1,1,1,4,4,4,1,1
61,2,24,165,62,2,1,1,1,3,5,3,2,1
62,1,21,168,65,2,2,3,2,2,4,1,2,1
